id,bubble_id,last_synced_at,created_at,updated_at,total_amount,created_date,record_month,linked_user,modified_date,linked_invoice,created_by,all_full_on_date,achieved_tier_bonus
65,1735617174767x353458950815358700,2025-09-12T07:48:56.225Z,2025-09-12T07:48:56.225Z,2025-09-12T07:48:56.225Z,,2024-12-31T03:52:54.773Z,2024-05-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:54.871Z,,non_authenticated_user_eternalgy_live,,
66,1735617175056x630268750125618800,2025-09-12T07:48:56.232Z,2025-09-12T07:48:56.232Z,2025-09-12T07:48:56.232Z,23110,2024-12-31T03:52:55.063Z,2024-06-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:55.134Z,"[""1713419834018x315663305034432500""]",non_authenticated_user_eternalgy_live,,
67,1735617175313x924364621071479600,2025-09-12T07:48:56.240Z,2025-09-12T07:48:56.240Z,2025-09-12T07:48:56.240Z,,2024-12-31T03:52:55.320Z,2024-07-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:55.371Z,,non_authenticated_user_eternalgy_live,,
68,1735617175561x967510122159561900,2025-09-12T07:48:56.249Z,2025-09-12T07:48:56.249Z,2025-09-12T07:48:56.249Z,,2024-12-31T03:52:55.568Z,2024-08-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:55.639Z,,non_authenticated_user_eternalgy_live,,
69,1735617175818x666432790745103500,2025-09-12T07:48:56.257Z,2025-09-12T07:48:56.257Z,2025-09-12T07:48:56.257Z,,2024-12-31T03:52:55.823Z,2024-09-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:55.889Z,,non_authenticated_user_eternalgy_live,,
70,1735617176076x104407699292145660,2025-09-12T07:48:56.263Z,2025-09-12T07:48:56.263Z,2025-09-12T07:48:56.263Z,,2024-12-31T03:52:56.081Z,2024-10-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:56.142Z,,non_authenticated_user_eternalgy_live,,
71,1735617176334x392034601519413200,2025-09-12T07:48:56.269Z,2025-09-12T07:48:56.269Z,2025-09-12T07:48:56.269Z,,2024-12-31T03:52:56.340Z,2024-11-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:56.404Z,,non_authenticated_user_eternalgy_live,,
72,1735617176619x289388138304343740,2025-09-12T07:48:56.273Z,2025-09-12T07:48:56.273Z,2025-09-12T07:48:56.273Z,,2024-12-31T03:52:56.626Z,2024-12-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:56.695Z,,non_authenticated_user_eternalgy_live,,
73,1735617178270x590586254555675000,2025-09-12T07:48:56.277Z,2025-09-12T07:48:56.277Z,2025-09-12T07:48:56.277Z,,2024-12-31T03:52:58.274Z,2024-04-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:58.323Z,,non_authenticated_user_eternalgy_live,,
74,1735617178506x311952707448399640,2025-09-12T07:48:56.282Z,2025-09-12T07:48:56.282Z,2025-09-12T07:48:56.282Z,,2024-12-31T03:52:58.511Z,2024-05-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:58.576Z,,non_authenticated_user_eternalgy_live,,
